Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
CT BRIGADIER LOPEZ;Central Puerto S.A.;Thermal power plant;64572;Industrial point source;Santa Fe;Santa Fe;-31.71284154;-60.77930021;Electrical energy;280;;;;2021;CAMMESA;2.322683236;93216;26507.622;;;
CT CAIMANCITO -SULLAIR;;Thermal power plant;62571;Industrial point source;Libertador Gral San Martín;Jujuy;-23.73226891;-64.61399317;Electrical energy;91;;;;2021;CAMMESA;1.94819592;137124;32117.353;;;
CT CAÑADA DE GOMEZ - SECCO;Secco;Thermal power plant;105744;Industrial point source;Cañada de Gómez;Santa Fe;-32.78187222;-61.41843352;Electrical energy;67.232;;;;2021;CAMMESA;2.671149063;169317;34867.835;;;
CT CAPITAN SARMIENTO - SECCO;Secco;Thermal power plant;10205;Industrial point source;;Buenos Aires;-34.16216899;-59.79574076;;5;;;;2021;CAMMESA;2.697170552;13840;3783.462;;;
CT CASTELLI - AGGREKO;;Thermal power plant;9440;Industrial point source;;Chaco;-25.94900872;-60.61986966;;15;;;;2021;CAMMESA;2.697170552;13195;3499.906;;;
CT CATAMARCA - SECCO;;Thermal power plant;10013;Industrial point source;;Catamarca;-28.4208082;-65.78776983;;19.2;;;;2021;CAMMESA;2.697170552;13860;3712.49;;;
CT CERES - SECCO;;Thermal power plant;3924;Industrial point source;;Santa Fe;-29.87387756;-61.92317816;;18;;;;2021;CAMMESA;2.697170552;5516;1454.758;;;
CT CHARATA - SULLAIR;;Thermal power plant;7334;Industrial point source;;Chaco;-27.20868003;-61.18225793;;19.8;;;;2021;CAMMESA;2.697170552;10516;2719.092;;;
CT CHILECITO - SECCO;Secco;Thermal power plant;4810;Industrial point source;Chilecito;La Rioja;-29.15733701;-67.50746666;Electrical energy;10;;;;2021;CAMMESA;2.697170552;6498;1783.423;;;
CT CIPOLLETI - AGGREKO;;Thermal power plant;501;Industrial point source;;Río Negro;-38.86486771;-68.03632495;;5;;;;2021;CAMMESA;2.697170552;703;185.816;;;
CT COLON BS.AS - SULLAIR;;Thermal power plant;5222;Industrial point source;Colón;Buenos Aires;-33.73201213;-61.09709894;Electrical energy;15.3;;;;2021;CAMMESA;2.697170552;7241;1936.036;;;
CT CORRIENTES - AGGREKO;;Thermal power plant;7204;Industrial point source;;Corrientes;-27.4710135;-58.80297303;;20;;;;2021;CAMMESA;2.697170552;9820;2671.103;;;
CT EZEIZA ETAPA1 G MEDITERRANE;;Thermal power plant;56618;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;Electrical energy;102.1;;;;2021;CAMMESA;2.197854131;100214;28164.37;;;
CT EZEIZA ETAPA2 G MEDITERRANE;;Thermal power plant;32456;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;Electrical energy;50;;;;2021;CAMMESA;2.197854131;58029;16179.573;;;
CT FORMOSA - APR ENERGY;;Thermal power plant;5006;Industrial point source;;Formosa;-26.17579564;-58.20978419;;30;;;;2021;CAMMESA;2.697170552;6438;1856.2;;;
CT GENERAL ROJO CIERRE CC;;Thermal power plant;619957;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.45541478;-60.28090222;Electrical energy;107.65;;;;2021;CAMMESA;2.314715421;1345916;283047.113;;;
