Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Source CO2 emissions;Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data
CT LAS ARMAS II - EMGASUD;;Thermal power plant;606;Industrial point source;;Buenos Aires;-37.07639032;-57.81773168;CAMMESA;;;;;;2021
CT LAS PALMAS 2 - ARAUCARIA;;Thermal power plant;100667;Industrial point source;;Buenos Aires;-34.07978591;-59.12506332;CAMMESA;;212.2;;;;2021
CT LAS PALMAS -TURBODISEL;;Thermal power plant;543;Industrial point source;;Chaco;-27.03271109;-58.70358987;CAMMESA;;7.2;;;;2021
CT LIBERTADOR GSM - SULLAIR;;Thermal power plant;3331;Industrial point source;;Jujuy;-23.73223944;-64.61405755;CAMMESA;;15.26;;;;2021
CT LINCOLN;;Thermal power plant;5898;Industrial point source;Lincoln;Buenos Aires;-34.85716731;-61.52070383;CAMMESA;Electrical energy;15;;;;2021
CT LOBOS BS.AS - SULLAIR;;Thermal power plant;23328;Industrial point source;;Buenos Aires;-35.18956801;-59.07850788;CAMMESA;;19.68;;;;2021
CT LOMA CAMPANA 1 -YPF;;Thermal power plant;93992;Industrial point source;;Neuquén;-37.92686761;-68.71536317;CAMMESA;;105;;;;2021
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Thermal power plant;164946;Industrial point source;;Neuquén;-37.92686761;-68.71536317;CAMMESA;;107;;;;2021
CT LOMA DE LA LATA II(NEUQUEN);;Thermal power plant;228867;Industrial point source;;Neuquén;-38.51180658;-68.6063997;CAMMESA;;105;;;;2021
CT LUJAN II - ARAUCARIA ENERGY;;Thermal power plant;68363;Industrial point source;;Buenos Aires;-34.55594176;-59.03483213;CAMMESA;;127.3;;;;2021
CT MAGDALENA - APR ENERGY;;Thermal power plant;4433;Industrial point source;;Buenos Aires;-35.100081;-57.483894;CAMMESA;;25;;;;2021
CT MATHEU II - APR ENERGY;;Thermal power plant;1875;Industrial point source;;Buenos Aires;-34.39580865;-58.83489199;CAMMESA;;229;;;;2021
CT MIRAMAR I - ENERGYST;;Thermal power plant;23587;Industrial point source;;Buenos Aires;-38.24736618;-57.82379749;CAMMESA;;20;;;;2021
CT ORAN - SECCO;;Thermal power plant;3717;Industrial point source;;Salta;-23.1386542;-64.31143463;CAMMESA;;15;;;;2021
CT PARQUE INDUSTR.CATAM-SECCO;;Thermal power plant;8843;Industrial point source;;Catamarca;-28.52995995;-65.80098711;CAMMESA;;15;;;;2021
CT PASO LA PATRIA-TURBODISEL;;Thermal power plant;1189;Industrial point source;;Corrientes;-27.32287605;-58.56667495;CAMMESA;;7.2;;;;2021
CT PEREZ - SECCO;;Thermal power plant;109776;Industrial point source;;Santa Fe;-33.01941125;-60.82494636;CAMMESA;;81.088;;;;2021
CT PIEDRABUENA MG(L.LATA);;Thermal power plant;173945;Industrial point source;;Buenos Aires;-38.03244943;-62.3371078;CAMMESA;;100.02;;;;2021
