latitude,longitude,altitude,geometry,Name,Company,Industry,CO2_emissions_t,Source_CO2_emissions,City,Province,Primary product,Installed Capacity [t/a],Columna1,Utility of the installed capacity,Process,year_emission,Source,CO2 factor [tCO2/tproduct]
-37.07639032,-57.81773168,,Point,CT LAS ARMAS II - EMGASUD,,Fossil Thermal Power Plant,606,Industrial point source,MAIPU,Buenos Aires,,,,,,2021,CAMMESA,1.94819592
-34.07978591,-59.12506332,,Point,CT LAS PALMAS 2 - ARAUCARIA,,Fossil Thermal Power Plant,100667,Industrial point source,Zarate,Buenos Aires,,212.2,,,,2021,CAMMESA,2.274220172
-27.03271109,-58.70358987,,Point,CT LAS PALMAS -TURBODISEL,,Fossil Thermal Power Plant,543,Industrial point source,Bermejo,Chaco,,7.2,,,,2021,CAMMESA,2.697170552
-23.73223944,-64.61405755,,Point,CT LIBERTADOR GSM - SULLAIR,,Fossil Thermal Power Plant,3331,Industrial point source,LEDESMA,Jujuy,,15.26,,,,2021,CAMMESA,2.697170552
-34.85716731,-61.52070383,,Point,CT LINCOLN,,Fossil Thermal Power Plant,5898,Industrial point source,Lincoln,Buenos Aires,Electrical energy,15,,,,2021,CAMMESA,2.697170552
-35.18956801,-59.07850788,,Point,CT LOBOS BS.AS - SULLAIR,,Fossil Thermal Power Plant,23328,Industrial point source,LOBOS,Buenos Aires,,19.68,,,,2021,CAMMESA,2.697170552
-37.92686761,-68.71536317,,Point,CT LOMA CAMPANA 1 -YPF,,Fossil Thermal Power Plant,93992,Industrial point source,Añelo,Neuquén,,105,,,,2021,CAMMESA,1.94819592
-37.92686761,-68.71536317,,Point,CT LOMA CAMPANA 2 -Y-GEN ELECT,,Fossil Thermal Power Plant,164946,Industrial point source,Añelo,Neuquén,,107,,,,2021,CAMMESA,1.94819592
-38.51180658,-68.6063997,,Point,CT LOMA DE LA LATA II(NEUQUEN),,Fossil Thermal Power Plant,228867,Industrial point source,Loma de la Lata,Neuquén,,105,,,,2021,CAMMESA,1.94819592
-34.55594176,-59.03483213,,Point,CT LUJAN II - ARAUCARIA ENERGY,,Fossil Thermal Power Plant,68363,Industrial point source,Luján,Buenos Aires,,127.3,,,,2021,CAMMESA,2.013324149
-35.100081,-57.483894,,Point,CT MAGDALENA - APR ENERGY,,Fossil Thermal Power Plant,4433,Industrial point source,MAGDALENA,Buenos Aires,,25,,,,2021,CAMMESA,2.697170552
-34.39580865,-58.83489199,,Point,CT MATHEU II - APR ENERGY,,Fossil Thermal Power Plant,1875,Industrial point source,Pilar,Buenos Aires,,229,,,,2021,CAMMESA,1.94819592
